Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2010-01-04,23.13006019592285,23.242160361365343,22.861018658516127,22.883439261777,38409100
2010-01-05,23.137527465820312,23.24215550039105,22.89838011611116,23.055321455251942,49749600
2010-01-06,22.995527267456055,23.227201010254984,22.808693282037197,23.077733251747823,58182400
2010-01-07,22.756389617919922,22.94322368235135,22.562082019859545,22.890908946948684,50559700
2010-01-08,22.913330078125,23.077743545474636,22.599448785598735,22.62934292080639,51197400
2010-01-11,22.62186622619629,22.988060778739115,22.50976608569226,22.95069311495069,68754700
2010-01-12,22.472396850585938,22.719017712622794,22.35282318568507,22.532183683036372,65912100
2010-01-13,22.681655883789062,22.808703105609574,22.427561440148043,22.614395506035216,51863500
2010-01-14,23.137527465820312,23.24215550039105,22.6143929946892,22.651759233544762,63228100
2010-01-15,23.062793731689453,23.346780837640303,22.95069217036857,23.227207169299888,79913200
2010-01-19,23.242156982421875,23.34678359823346,22.92827570955638,22.980589017462172,46575700
2010-01-20,22.861011505126953,23.122579426266743,22.65175688312902,23.025424934634295,54849500
2010-01-21,22.42755889892578,22.958166901716428,22.42008536608541,22.875960891333616,73086700
2010-01-22,21.64284896850586,22.569546824036518,21.55316945050627,22.42007906013022,102004600
2010-01-25,21.911895751953125,22.16599015770679,21.74748231164276,21.85210891680112,63373000
2010-01-26,22.046411514282227,22.307979393605528,21.740003875067302,21.822211289393838,66639900
2010-01-27,22.17346954345703,22.285569710779534,21.68770120143888,21.93432213972077,63949500
2010-01-28,21.79231834411621,22.322927662338856,21.59053727554857,22.30050706846567,117513700
2010-01-29,21.0599308013916,22.360295399594083,20.67131570066062,22.3453483360051,193888500
2010-02-01,21.231826782226562,21.284140101596467,20.865632121206204,21.216879712283436,85931100
2010-02-02,21.26917839050293,21.29907250981085,21.030031137759828,21.20191947292024,54413700
2010-02-03,21.39623260498047,21.515807696228016,21.015092436082824,21.119719037315075,61397900
2010-02-04,20.805837631225586,21.299079354883176,20.78341703453914,21.209398393567923,77850000
2010-02-05,20.940349578857422,21.1346570590295,20.604047896746142,20.925402520668047,80960100
2010-02-08,20.716161727905273,20.98520325210887,20.604061567964063,20.93288993916503,52820600
2010-02-09,20.932886123657227,21.179507000747815,20.738578549975156,20.902991992892012,59195800
2010-02-10,20.917940139770508,21.10477419042094,20.80583999446639,20.947834272081305,48591300
2010-02-11,21.015094757080078,21.22434798265541,20.701213493286392,20.873100478703467,65993700
2010-02-12,20.87310028076172,20.970253359510284,20.61153232584234,20.783419309629394,81117200
2010-02-16,21.286056518554688,21.301073480410984,21.038282376311038,21.12087280232805,51935600
2010-02-17,21.466249465942383,21.511298906196615,21.29355875155459,21.42120002568815,45882900
2010-02-18,21.751569747924805,21.796620631150375,21.406188235772813,21.466254647977344,42856500
2010-02-19,21.601402282714844,21.714026615372852,21.541335876490834,21.616419242294867,44451800
2010-02-22,21.571372985839844,21.729048231024365,21.51130656674488,21.653964849131565,36707100
2010-02-23,21.271038055419922,21.646453482753202,21.09083882215149,21.53382914097246,52266200
2010-02-24,21.496294021606445,21.616428316581317,21.3085862443472,21.413703573438127,43165900
2010-02-25,21.473766326904297,21.511307303087545,21.03828441553496,21.225992160644097,48735300
2010-02-26,21.526325225830078,21.661475037467728,21.40619237817361,21.511308261848892,40370600
2010-03-01,21.789106369018555,21.811630372558515,21.42119951287541,21.60139870167435,43805400
2010-03-02,21.3686466217041,21.999344689175974,21.203464340069576,21.83416240754145,93123900
2010-03-03,21.3686466217041,21.481272401828303,21.286056196934982,21.406189025777596,48442100
2010-03-04,21.496294021606445,21.51131098749039,21.22599579617888,21.36865267578629,42890600
2010-03-05,21.466249465942383,21.533824342371673,21.33860819180882,21.518807384921633,56001800
2010-03-08,21.496294021606445,21.721544213575555,21.39868660755418,21.413703573438127,39414500
2010-03-09,21.62392807006836,21.856686666431138,21.436220356154237,21.443728836562347,50271600
2010-03-10,21.751569747924805,21.856687043354906,21.623928442978148,21.66897932620372,44891400
2010-03-11,21.90924644470215,21.916754925743415,21.661472298725652,21.69150479079439,35349700
2010-03-12,21.976816177368164,22.059406585220486,21.80412545029078,22.014357141655946,31700200
2010-03-15,21.99183464050293,22.051901046730446,21.781601502658578,21.90924279490406,37512000
2010-03-16,22.05190086364746,22.141999756192657,21.924259572461704,22.089441830191948,36723500
2010-03-17,22.247116088867188,22.427316742043164,22.074425347677657,22.149508714484963,50385700
2010-03-18,22.232099533081055,22.314689943863282,22.149507690202785,22.247115060071252,43845200
2010-03-19,22.21708869934082,22.4498459009655,22.03688943691238,22.344730022573017,81332100
2010-03-22,22.224590301513672,22.29967366230819,22.066915100635587,22.149506940719156,37718200
2010-03-23,22.4348201751709,22.44983713253207,22.081930269758622,22.217080021817416,42026600
2010-03-24,22.262128829956055,22.41229553511395,22.224587869714497,22.314686747132566,33987700
2010-03-25,22.532438278198242,22.95290323341097,22.374763024933177,22.39728847028432,73168700
2010-03-26,22.26964569091797,22.67509508820158,22.217087753958175,22.592503226066835,55595500
2010-03-29,22.21708869934082,22.38977948015602,22.187054772887862,22.30718761450682,33336000
2010-03-30,22.352237701416016,22.419812601411817,22.149513001428623,22.24712039470234,34954800
2010-03-31,21.99183464050293,22.314690678915778,21.90173431511361,22.25462427268826,63760000
2010-04-01,21.894224166870117,22.179540648780296,21.488776313755622,22.036882407825207,74768100
2010-04-05,21.976816177368164,22.096948981604257,21.796616971014025,21.87169889958959,34331200
2010-04-06,22.014358520507812,22.209574697642672,21.759075937492696,21.886717229000254,47366800
2010-04-07,22.036888122558594,22.19456193074312,21.879212882277717,21.89422984460853,58318800
2010-04-08,22.464866638183594,22.509916103334692,21.99935072463332,22.01436769038258,63713800
2010-04-09,22.780214309692383,22.83277225437561,22.449848244702213,22.48739065668779,54752500
2010-04-12,22.765195846557617,22.892837174714426,22.68260397772189,22.712637905333604,37068800
2010-04-13,22.8627986907959,22.900339658381025,22.62253162912428,22.637548588996776,41374600
2010-04-14,23.14061164855957,23.27576146036812,23.0204788007512,23.11808763465582,68941200
2010-04-15,23.178150177001953,23.238216590847042,23.058015917215506,23.140607773288604,52745400
2010-04-16,23.027982711791992,23.260739879207314,22.975424780320424,23.118083045811982,88703100
2010-04-19,23.305789947509766,23.463463736412294,23.09555679687689,23.10306527712408,64970300
2010-04-20,23.546052932739258,23.60611933584947,23.373360770713386,23.440935653224376,52199500
2010-04-21,23.523530960083008,23.65117226450865,23.44844758710977,23.523530960083008,55343100
2010-04-22,23.568578720092773,23.673696007552127,23.20067179422535,23.3057890816847,84847600
2010-04-23,23.2457218170166,23.711237561891565,23.0129646606272,23.36585606738446,126766600
2010-04-26,23.35834312438965,23.48598439842823,23.17063545269149,23.275751290571773,63649300
2010-04-27,23.163129806518555,23.463461831543093,23.088046442238404,23.2382131707987,68730900
2010-04-28,23.208187103271484,23.27576201077371,22.99044684850606,23.215695585449126,64557900
2010-04-29,23.2757568359375,23.59861433731332,23.027982707548468,23.22319890447562,52665200
2010-04-30,22.930376052856445,23.33582398849851,22.91535909136326,23.328315507751917,63214800
