Price,Close,High,Low,Open,Volume
Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
Date,,,,,
2010-01-04,15.566815376281738,15.635367279386827,15.504474554822151,15.571782727161896,78169752
2010-01-05,15.498263359069824,15.593887696536754,15.437412368429586,15.577494871840488,120067812
2010-01-06,15.107573509216309,15.544710813238913,15.060382727732327,15.544710813238913,158988852
2010-01-07,14.755875587463379,15.150790397379204,14.719862293290957,15.13588739809554,256315428
2010-01-08,14.952587127685547,14.983136143630398,14.631935569711716,14.703716055325774,188783028
2010-01-11,14.929986953735352,15.013191977014573,14.754386171891024,15.013191977014573,288227484
2010-01-12,14.66596508026123,14.856715894752476,14.604368226451106,14.844048582268174,193937868
2010-01-13,14.581768035888672,14.613807831242212,14.254163258074918,14.318491784267318,259604136
2010-01-14,14.650318145751953,14.758360872692682,14.475463220798439,14.50253566313997,169434396
2010-01-15,14.405669212341309,14.742463731670952,14.356986714265911,14.736998510045005,217162620
2010-01-19,14.594929695129395,14.664474500460294,14.313522831562578,14.435474703087793,172495332
2010-01-20,14.415850639343262,14.554194373815621,14.28868438954786,14.554194373815621,129897972
2010-01-21,14.47968578338623,14.57506119781935,14.213180955882182,14.491111259028546,252055692
2010-01-22,13.660797119140625,14.172197632400971,13.284510822338149,14.02069059002026,271743984
2010-01-25,13.412174224853516,13.65756778282382,13.30065398480839,13.575851646618764,176619204
2010-01-26,13.472282409667969,13.65061486883322,13.32003043848539,13.361756947603054,174045780
2010-01-27,13.464332580566406,13.602180349245996,13.295686858789391,13.443717317843992,158417424
2010-01-28,13.270355224609375,13.586038551829336,13.178705317983203,13.523696776206311,129034836
2010-01-29,13.162310600280762,13.436763356299263,13.054764805722447,13.37467052507978,165454380
2010-02-01,13.238810539245605,13.308107359630164,13.1712534275955,13.278053370654987,89941968
2010-02-02,13.191618919372559,13.286994327311543,13.104439451028506,13.286994327311543,163684152
2010-02-03,13.432541847229004,13.464333651609195,13.119840090015726,13.130768641086755,119844036
2010-02-04,13.08382511138916,13.362499361922966,13.053523135441312,13.337662607725694,134972892
2010-02-05,13.195841789245605,13.250732532352421,12.976528698805172,13.12406129548356,126113760
2010-02-08,13.24998664855957,13.461850605146473,13.201802965231689,13.22589480689563,107664228
2010-02-09,13.323752403259277,13.450174690297603,13.289724916874162,13.400748228224048,112671216
2010-02-10,13.274328231811523,13.357284317798253,13.106426469194837,13.264889507789528,106873020
2010-02-11,13.322758674621582,13.424344210343227,13.151381296585141,13.246259773316583,96303600
