Price,Close,High,Low,Open,Volume,return,lag_close_1,lag_return_1,lag_close_2,lag_return_2,lag_close_3,lag_return_3,lag_close_4,lag_return_4,lag_close_5,lag_return_5,sma_10,ema_10,rsi_14,bb_hband,bb_lband,vol_change,target_close_next
2010-02-01,5.94350004196167,6.243000030517578,5.690999984741211,6.158999919891357,755488000.0,-0.05214897242564975,6.270500183105469,-0.004919409864532542,6.301499843597412,0.02672098402100187,6.137499809265137,0.02736856926343112,5.973999977111816,-0.006898859792041745,6.015500068664551,-0.009223380956577043,6.171449947357178,6.186309221574017,32.2728929869553,6.809914222390358,5.889635738699731,0.2817351117867213,5.906000137329102
2010-02-02,5.906000137329102,5.948999881744385,5.71999979019165,5.939499855041504,461594000.0,-0.006309397554944973,5.94350004196167,-0.05214897242564975,6.270500183105469,-0.004919409864532542,6.301499843597412,0.02672098402100187,6.137499809265137,0.02736856926343112,5.973999977111816,-0.006898859792041745,6.123999977111817,6.135343933529487,31.28757555815109,6.7804888301847654,5.840161127472095,-0.38901213520267697,5.954999923706055
2010-02-03,5.954999923706055,5.980500221252441,5.828000068664551,5.855999946594238,248118000.0,0.008296611113712604,5.906000137329102,-0.006309397554944973,5.94350004196167,-0.05214897242564975,6.270500183105469,-0.004919409864532542,6.301499843597412,0.02672098402100187,6.137499809265137,0.02736856926343112,6.0905999660491945,6.10255411356159,34.118013638458905,6.723283762751649,5.819416194142272,-0.46247568209292145,5.796999931335449
2010-02-04,5.796999931335449,6.016499996185303,5.787000179290772,5.932000160217285,255680000.0,-0.026532324835409127,5.954999923706055,0.008296611113712604,5.906000137329102,-0.006309397554944973,5.94350004196167,-0.05214897242564975,6.270500183105469,-0.004919409864532542,6.301499843597412,0.02672098402100187,6.037199974060059,6.046998807702291,29.84841352189342,6.698889644550018,5.762260286403961,0.0304774341240861,5.869500160217285
2010-02-05,5.869500160217285,5.882500171661377,5.704999923706055,5.794000148773193,220496000.0,0.01250650849415047,5.796999931335449,-0.026532324835409127,5.954999923706055,0.008296611113712604,5.906000137329102,-0.006309397554944973,5.94350004196167,-0.05214897242564975,6.270500183105469,-0.004919409864532542,6.017000007629394,6.01472632634138,33.933947407859335,6.675390577791891,5.722709369183818,-0.13760951188986237,5.84149980545044
2010-02-08,5.84149980545044,6.050000190734863,5.828000068664551,5.968999862670898,197804000.0,-0.004770483687286942,5.869500160217285,0.01250650849415047,5.796999931335449,-0.026532324835409127,5.954999923706055,0.008296611113712604,5.906000137329102,-0.006309397554944973,5.94350004196167,-0.05214897242564975,5.999599981307983,5.9832305952702995,33.131419393402524,6.604548168338659,5.710101747356531,-0.10291343153617294,5.901500225067139
2010-02-09,5.901500225067139,5.954500198364258,5.849999904632568,5.909999847412109,184460000.0,0.010271406593340027,5.84149980545044,-0.004770483687286942,5.869500160217285,0.01250650849415047,5.796999931335449,-0.026532324835409127,5.954999923706055,0.008296611113712604,5.906000137329102,-0.006309397554944973,5.992350006103516,5.968370527960634,36.59197235787558,6.555192368419321,5.698057562916129,-0.06746071869122972,5.868000030517578
2010-02-10,5.868000030517578,5.930500030517578,5.800000190734863,5.900000095367432,124664000.0,-0.005676555667534444,5.901500225067139,0.010271406593340027,5.84149980545044,-0.004770483687286942,5.869500160217285,0.01250650849415047,5.796999931335449,-0.026532324835409127,5.954999923706055,0.008296611113712604,5.96540002822876,5.95012134660735,35.48769316228103,6.52937447793192,5.673925473621424,-0.3241678412663992,6.004499912261963
2010-02-11,6.004499912261963,6.020999908447266,5.824999809265137,5.860499858856201,166870000.0,0.023261738417602817,5.868000030517578,-0.005676555667534444,5.901500225067139,0.010271406593340027,5.84149980545044,-0.004770483687286942,5.869500160217285,0.01250650849415047,5.796999931335449,-0.026532324835409127,5.9357000350952145,5.9600083585445525,43.031606227564986,6.476289943618289,5.681909986572752,0.33855804402233214,5.982999801635742
2010-02-12,5.982999801635742,5.997000217437744,5.875,5.94950008392334,161470000.0,-0.003580666323654169,6.004499912261963,0.023261738417602817,5.868000030517578,-0.005676555667534444,5.901500225067139,0.010271406593340027,5.84149980545044,-0.004770483687286942,5.869500160217285,0.01250650849415047,5.906949996948242,5.9641886209247685,42.19464650463259,6.436031351973103,5.683718575547649,-0.032360520165398254,5.876500129699707
